qid,transformed_from,subject,topic,subtopic,source_path,pass2_complete,contract_valid,pick_rate_provenance_ok,christian_flavor_clean,attorney_status,review_evidence_path,notes
14736_chapel_ride,14736,CRIMINAL,Criminal Law,Other Crimes,C:\CCG\Finished\CQ14736.md,true,true,true,unverified,unknown,,
CQ14740,14740,CRIMINAL,Criminal Law,Other Crimes,C:\CCG\Finished\CQ14740.md,true,true,false,true,unknown,,no pick-rate provenance field
14742_backyard_hymn_keyboard,14742,CRIMINAL,Criminal Law,Other Crimes,C:\CCG\Finished\CQ14742.md,true,true,false,true,unknown,,no pick-rate provenance field
CQ14743,14743,CRIMINAL,Criminal Law,Other Crimes,C:\CCG\Finished\CQ14743.md,true,true,false,unverified,unknown,,no pick-rate provenance field
14744_berean_bookshop_ledger,14744,CRIMINAL,Criminal Law,Other Crimes,C:\CCG\Finished\CQ14744.md,true,false,true,true,unknown,,contract gaps: stem=False call=False key=True choices=12 filters=4 molds=4
CQ14745,14745,CRIMINAL,Criminal Law,Other Crimes,C:\CCG\Finished\CQ14745.md,true,true,true,unverified,unknown,,
14748_barnabas_psalm_copy,14748,CRIMINAL,Criminal Law,Other Crimes,C:\CCG\Finished\CQ14748.md,true,true,true,true,unknown,,
14766_potluck_collision_tape,14766,EVIDENCE,Evidence,Hearsay and Circumstances of Its Admissibility,C:\CCG\Finished\CQ14766.md,true,true,false,unverified,unknown,,no pick-rate provenance field
14830_biblestudy_crosswalk,14830,EVIDENCE,Evidence,Presentation of Evidence,C:\CCG\Finished\CQ14830.md,true,true,false,true,unknown,,no pick-rate provenance field
CQ15222,15222,TORTS,Torts,Other Torts,C:\CCG\Finished\CQ15222.md,false,true,true,true,unknown,,missing blocks: c3_annotation
CQ15223,15223,TORTS,Torts,Other Torts,C:\CCG\Finished\CQ15223.md,false,true,true,true,unknown,,missing blocks: c3_annotation+program_elements+program_intelligence
15224_bible_workbook_press,15224,TORTS,Torts,Other Torts,C:\CCG\Finished\CQ15224.md,true,true,false,unverified,unknown,,no pick-rate provenance field
CQ15253,15253,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15253.md,false,true,true,true,unknown,,missing blocks: c3_annotation+program_elements+program_intelligence
CQ15254,15254,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15254.md,false,true,false,true,unknown,,missing blocks: c3_annotation+program_elements+program_intelligence; no pick-rate provenance field
15255_good_shepherd_dairy,15255,TORTS,Strict Liability and Products Liability,Federal Tort Claims Act negligence gate / strict-liability bait,C:\CCG\Finished\CQ15255.md,true,true,true,true,unknown,,
CQ15256,15256,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15256.md,true,false,true,true,unknown,,contract gaps: stem=True call=False key=True choices=8 filters=4 molds=4
CQ15257,15257,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15257.md,true,true,true,unverified,unknown,,
15258_good_shepherd_dental,15258,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15258.md,true,true,false,true,unknown,,no pick-rate provenance field
15259_peter_sparkling_cider_stopper,15259,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15259.md,true,true,true,true,unknown,,
CQ15260,15260,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15260.md,true,true,false,true,unknown,,no pick-rate provenance field
15262_fiery_furnace_panels,15262,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15262.md,true,true,true,true,unknown,,
15263_galilee_gt,15263,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15263.md,true,true,false,unverified,unknown,,no pick-rate provenance field
15264_emmaus_roadster,15264,TORTS,Torts,Strict Liability and Products Liability,C:\CCG\Finished\CQ15264.md,true,true,false,true,unknown,,no pick-rate provenance field
Q-14621,14621,CRIM PRO,,,C:\ABM\src\funnel\questions.seed.json,"n/a (funnel seed, doc 03 contract)",true,true,unverified,unknown,,funnel mini-diagnostic seed — founder gate L-2 applies before public deploy
Q-14734,14734,CRIM LAW,,,C:\ABM\src\funnel\questions.seed.json,"n/a (funnel seed, doc 03 contract)",true,true,unverified,unknown,,funnel mini-diagnostic seed — founder gate L-2 applies before public deploy
Q-14609,14609,CRIM PRO,,,C:\ABM\src\funnel\questions.seed.json,"n/a (funnel seed, doc 03 contract)",true,true,unverified,unknown,,funnel mini-diagnostic seed — founder gate L-2 applies before public deploy
