No,ID,Pattern,Trap,Correct Letter,Correct Answer To Look For,Rule Capsule,Most Popular Wrong,Most Popular Wrong Choice,Nugget,Word Count
14,18171,"Tariq robbed a jewelry store at gunpoint. A security guard fired at Tariq during the robbery, missed, and killed a shopper. The jurisdiction expressly follows the proximate-cause theory of felony murder. Tariq was charged with felony murder for the shopper's…","The question expressly supplies proximate-cause theory. Under that theory, liability can attach when the felony proximately causes the death",C,"Yes, because the armed robbery proximately caused the guard's responsive shot and the shopper's death","If the jurisdiction supplies the proximate-cause theory, felony murder can attach to deaths proximately caused by the felony, even when the immediate shooter is a resisting non-felon",A,"No, because the guard, not Tariq or a co-felon, fired the fatal shot","014. ID 18171 | Pattern: Tariq robbed a jewelry store at gunpoint. A security guard fired at Tariq during the robbery, missed, and killed a shopper. The jurisdiction expressly follows the proximate-cause theory of felony murder. Tariq was charged with felony murder for the shopper's… | Trap: The question expressly supplies proximate-cause theory. Under that theory, liability can attach when the felony proximately causes the death | Look for: C — Yes, because the armed robbery proximately caused the guard's responsive shot and the shopper's death. Rule: If the jurisdiction supplies the proximate-cause theory, felony murder can attach to deaths proximately caused by the felony, even when the immediate shooter is a resisting non-felon",114
15,18371,"A defendant was upset because he was going to have to close his liquor store due to competition from a discount store in a new shopping mall nearby. In desperation, he decided to set fire to his store to collect…",Negligence alone is insufficient proof of malicious burning; recklessness combined with the obvious risk demonstrates malice,A,"guilty, because he could have put out the fire before it spread and did not do so because he wanted the building destroyed","Arson is not a specific intent crime; instead, it requires malice on the part of the defendant",C,"not guilty, because even if he wanted to burn the building there was no concurrence between his mens rea and the act of starting the fire.","015. ID 18371 | Pattern: A defendant was upset because he was going to have to close his liquor store due to competition from a discount store in a new shopping mall nearby. In desperation, he decided to set fire to his store to collect… | Trap: Negligence alone is insufficient proof of malicious burning; recklessness combined with the obvious risk demonstrates malice | Look for: A — guilty, because he could have put out the fire before it spread and did not do so because he wanted the building destroyed. Rule: Arson is not a specific intent crime; instead, it requires malice on the part of the defendant",109
16,18484,Samuel was indicted for aggravated robbery. Police conducted a post-indictment in-person lineup without notifying Samuel's defense counsel. The store clerk who witnessed the robbery identified Samuel at the lineup. The trial court correctly suppressed the lineup identification as a violation…,United States v. Wade* recognized that suppression of the out-of-court identification does not automatically require suppression of an in-court identification,B,"No, because the clerk's in-court identification rests on an independent source — her direct observation of the robbery — that is untainted by the suppressed lineup","When a pretrial identification is suppressed as constitutionally tainted, the prosecution may still offer an in-court identification if the witness has an independent source of knowledge — a basis to identify the defendant untainted by the unlawful procedure — such as a…",A,"No, because once a lineup identification is suppressed, all subsequent identifications by the same witness are automatically barred as fruit of the poisonous tree","016. ID 18484 | Pattern: Samuel was indicted for aggravated robbery. Police conducted a post-indictment in-person lineup without notifying Samuel's defense counsel. The store clerk who witnessed the robbery identified Samuel at the lineup. The trial court correctly suppressed the lineup identification as a violation… | Trap: United States v. Wade* recognized that suppression of the out-of-court identification does not automatically require suppression of an in-court identification | Look for: B — No, because the clerk's in-court identification rests on an independent source — her direct observation of the robbery — that is untainted by the suppressed lineup. Rule: When a pretrial identification is suppressed as constitutionally tainted, the prosecution may still offer an in-court identification if the witness has an independent source of knowledge — a basis to identify the defendant untainted by the unlawful procedure — such as a…",141
17,18884,"A witness saw a masked robber for about two seconds at night from across a parking lot. Six weeks later, police showed the witness a single photograph and said, ""This is the person we caught."" The witness hesitated, then identified…",Due process can require suppression when police-arranged suggestiveness and unreliability create a substantial likelihood of misidentification,A,"Yes, because the police-arranged single-photo procedure was suggestive and the reliability factors are weak",A police-arranged identification violates due process when it is unnecessarily suggestive and creates a substantial likelihood of irreparable misidentification,B,"No, because witness identifications are always for the jury to weigh","017. ID 18884 | Pattern: A witness saw a masked robber for about two seconds at night from across a parking lot. Six weeks later, police showed the witness a single photograph and said, ""This is the person we caught."" The witness hesitated, then identified… | Trap: Due process can require suppression when police-arranged suggestiveness and unreliability create a substantial likelihood of misidentification | Look for: A — Yes, because the police-arranged single-photo procedure was suggestive and the reliability factors are weak. Rule: A police-arranged identification violates due process when it is unnecessarily suggestive and creates a substantial likelihood of irreparable misidentification",102
18,19846,Lena borrowed her aunt's car for the weekend with permission and carried the keys. She was the only occupant when police stopped the car for no valid reason and searched the center console without consent or any warrant exception. They…,"Lawful possession, control, and permission to use the car can create a reasonable expectation of privacy",B,Lena has standing because she lawfully possessed and controlled the borrowed car with the owner's permission,Lawful possession and control can create a reasonable expectation of privacy in a vehicle; title ownership is not the only path to standing,A,Lena lacks standing because she was not the car's titled owner,"018. ID 19846 | Pattern: Lena borrowed her aunt's car for the weekend with permission and carried the keys. She was the only occupant when police stopped the car for no valid reason and searched the center console without consent or any warrant exception. They… | Trap: Lawful possession, control, and permission to use the car can create a reasonable expectation of privacy | Look for: B — Lena has standing because she lawfully possessed and controlled the borrowed car with the owner's permission. Rule: Lawful possession and control can create a reasonable expectation of privacy in a vehicle; title ownership is not the only path to standing",108
19,19651,"A woman told a man to accompany her into her friend's unlocked barn and retrieve an expensive black saddle that she said she had loaned to the friend. The man accompanied the woman to the friend's barn, opened the door…",The friend and the man lacked the requisite criminal intent,D,Only the woman,"Only the woman had the requisite criminal intent. Burglary requires unlawful entry with intent to commit a felony (in this case, larceny)",C,The man and the woman.,"019. ID 19651 | Pattern: A woman told a man to accompany her into her friend's unlocked barn and retrieve an expensive black saddle that she said she had loaned to the friend. The man accompanied the woman to the friend's barn, opened the door… | Trap: The friend and the man lacked the requisite criminal intent | Look for: D — Only the woman. Rule: Only the woman had the requisite criminal intent. Burglary requires unlawful entry with intent to commit a felony (in this case, larceny)",88
20,17884,"Defendant is convicted by a jury of second-degree assault, which carries a maximum sentence of five years. At sentencing, the judge finds by a preponderance of the evidence that the assault was motivated by racial bias—a fact not submitted to…",Apprendi v. New Jersey (2000) held that the Sixth Amendment right to jury trial extends to any fact (other than a prior conviction) that increases the penalty beyond the statutory…,C,"Yes, because the racial bias finding increased the sentence beyond the five-year maximum authorized by the jury's verdict, and that finding was required to be submitted…","Under Apprendi v. New Jersey, any fact other than a prior conviction that increases the penalty beyond the prescribed statutory maximum must be submitted to the jury and proved beyond a reasonable doubt; judicial fact-finding that increases the maximum is unconstitutional",A,"No, because sentencing facts are traditionally found by judges, and the Sixth Amendment right to jury trial does not extend to the sentencing phase","020. ID 17884 | Pattern: Defendant is convicted by a jury of second-degree assault, which carries a maximum sentence of five years. At sentencing, the judge finds by a preponderance of the evidence that the assault was motivated by racial bias—a… | Trap: Apprendi v. New Jersey (2000) held that the Sixth Amendment right to jury trial extends to any fact (other than a prior conviction) that increases the penalty beyond… | Look for: C — Yes, because the racial bias finding increased the sentence beyond the five-year maximum authorized by the jury's verdict, and that finding was required to…. Rule: Under Apprendi v. New Jersey, any fact other than a prior conviction that increases the penalty beyond the prescribed statutory maximum must be submitted to the jury and proved beyond a reasonable doubt; judicial fact-finding that increases the…",139
21,21489,"An officer sought a warrant to search Sol's home. The affidavit stated that an informant had bought drugs inside the home that morning. In fact, the officer knew the informant had only walked past the home and guessed drugs were…",Good faith does not apply when the officer misled the magistrate with a knowingly or recklessly false material statement,C,"No, because the officer knowingly or recklessly included a false statement necessary to probable cause",The good-faith exception fails when the affiant knowingly or recklessly misleads the magistrate,A,"Yes, because a magistrate issued the warrant","021. ID 21489 | Pattern: An officer sought a warrant to search Sol's home. The affidavit stated that an informant had bought drugs inside the home that morning. In fact, the officer knew the informant had only walked past the home and guessed drugs were… | Trap: Good faith does not apply when the officer misled the magistrate with a knowingly or recklessly false material statement | Look for: C — No, because the officer knowingly or recklessly included a false statement necessary to probable cause. Rule: The good-faith exception fails when the affiant knowingly or recklessly misleads the magistrate",100
22,14724,"In a crowded football stadium, a man saw a wallet fall out of a spectator's purse. The man picked up the wallet and found that it contained $100 in cash. Thinking that he could use the money and seeing no…","Because the spectator never entrusted the man with the wallet, the man is guilty of larceny rather than embezzlement",C,Larceny,The initial taking of the wallet was a trespass because the man knew that the wallet belonged to the spectator and he intended to convert the wallet to his own use in permanent deprivation of the spectator's right,A,Embezzlement.,"022. ID 14724 | Pattern: In a crowded football stadium, a man saw a wallet fall out of a spectator's purse. The man picked up the wallet and found that it contained $100 in cash. Thinking that he could use the money and seeing no… | Trap: Because the spectator never entrusted the man with the wallet, the man is guilty of larceny rather than embezzlement | Look for: C — Larceny. Rule: The initial taking of the wallet was a trespass because the man knew that the wallet belonged to the spectator and he intended to convert the wallet to his own use in permanent deprivation of the spectator's right",111
23,17337,"Gina and Raul conspire to steal a truckload of electronics and split the goods. They complete the theft and divide the goods. A week later, without telling Gina, Raul burns a storage shed to destroy evidence of his own fingerprints.…",Concealment extends the conspiracy only when it is part of the agreed objective or otherwise in furtherance of an ongoing conspiracy,A,The arson occurred after the conspiracy's theft objective was complete and was not part of the original agreement,A conspiracy generally ends when its central objective is achieved or abandoned; later concealment acts are not automatically in furtherance unless concealment was part of the original agreement,C,Gina is liable because she once conspired with Raul,"023. ID 17337 | Pattern: Gina and Raul conspire to steal a truckload of electronics and split the goods. They complete the theft and divide the goods. A week later, without telling Gina, Raul burns a storage shed to destroy evidence of his own fingerprints.… | Trap: Concealment extends the conspiracy only when it is part of the agreed objective or otherwise in furtherance of an ongoing conspiracy | Look for: A — The arson occurred after the conspiracy's theft objective was complete and was not part of the original agreement. Rule: A conspiracy generally ends when its central objective is achieved or abandoned; later concealment acts are not automatically in furtherance unless concealment was part of the original agreement",120
24,16088,"After being arrested and charged with bribery, the defendant spent one night in a detention cell at the county jail. The informant, who had been arrested on a charge unrelated to the defendant's case, was assigned to the same detention…","e., while the defendant was clearly in custody), the statements in question were not made at that time",D,"No, because the defendant was not in police custody when he admitted his guilt to the informant","Because of the inherently coercive nature of police custody, the United States Supreme Court held (in Miranda) that inculpatory statements resulting from custodial interrogation of a defendant are inadmissible unless the defendant received certain warnings prior to making the statements",A,"Yes, because the police asked for the informant's help before putting him in a cell with the defendant.","024. ID 16088 | Pattern: After being arrested and charged with bribery, the defendant spent one night in a detention cell at the county jail. The informant, who had been arrested on a charge unrelated to the defendant's case, was assigned to the same detention… | Trap: e., while the defendant was clearly in custody), the statements in question were not made at that time | Look for: D — No, because the defendant was not in police custody when he admitted his guilt to the informant. Rule: Because of the inherently coercive nature of police custody, the United States Supreme Court held (in Miranda) that inculpatory statements resulting from custodial interrogation of a defendant are inadmissible unless the defendant received certain warnings prior to making the statements",128
25,21197,"Guards removed Lina from her cell, handcuffed her to a wall in a locked interview room, and told her she could not return to her unit until detectives finished questioning her about a new assault charge. Detectives questioned her for…",Counsel is not automatically required for every prison question,A,"Yes, because the added restraints made the interrogation custodial and no warnings were given",An inmate is in Miranda custody for a new interrogation when the setting adds restraint comparable to formal arrest for that investigation,C,"No, because Lina was already in prison before the questioning began","025. ID 21197 | Pattern: Guards removed Lina from her cell, handcuffed her to a wall in a locked interview room, and told her she could not return to her unit until detectives finished questioning her about a new assault charge. Detectives questioned her for… | Trap: Counsel is not automatically required for every prison question | Look for: A — Yes, because the added restraints made the interrogation custodial and no warnings were given. Rule: An inmate is in Miranda custody for a new interrogation when the setting adds restraint comparable to formal arrest for that investigation",98
26,21707,"Because of a severe psychotic disorder, Lior believed his sleeping roommate was a wax statue placed in the room as a prank. Acting under that delusion, Lior struck the roommate repeatedly with a hammer, killing him. The jurisdiction uses the…",Mental illness alone is not enough. It must satisfy the jurisdiction's legal test,A,"Yes, because his mental disease prevented him from knowing the nature and quality of his act","Under M'Naghten, insanity applies if, because of mental disease or defect, the defendant did not know the nature and quality of the act or did not know it was wrong",C,"No, because Lior intentionally swung the hammer","026. ID 21707 | Pattern: Because of a severe psychotic disorder, Lior believed his sleeping roommate was a wax statue placed in the room as a prank. Acting under that delusion, Lior struck the roommate repeatedly with a hammer, killing him. The jurisdiction uses the… | Trap: Mental illness alone is not enough. It must satisfy the jurisdiction's legal test | Look for: A — Yes, because his mental disease prevented him from knowing the nature and quality of his act. Rule: Under M'Naghten, insanity applies if, because of mental disease or defect, the defendant did not know the nature and quality of the act or did not know it was wrong",112
27,20233,"Ramos was charged with drug trafficking. The government's key witness was Acosta, a co-conspirator who agreed to testify for the government. Before trial, the prosecutor made a written agreement with Acosta promising that Acosta would receive a substantially reduced sentence…",Giglio v. United States* (1972) extended Brady's disclosure obligation to impeachment evidence — including deals with witnesses,C,"Yes, because a leniency deal with the key government witness is impeachment evidence that must be disclosed under *Giglio v. United States*","Under *Giglio v. United States*, the prosecution's Brady duty extends to evidence that could be used to impeach a key government witness, including promises of leniency or deals made with the witness in exchange for testimony",A,"No, because the agreement did not directly prove Ramos's innocence and therefore is not exculpatory under Brady","027. ID 20233 | Pattern: Ramos was charged with drug trafficking. The government's key witness was Acosta, a co-conspirator who agreed to testify for the government. Before trial, the prosecutor made a written agreement with Acosta promising that Acosta would receive a substantially reduced sentence… | Trap: Giglio v. United States* (1972) extended Brady's disclosure obligation to impeachment evidence — including deals with witnesses | Look for: C — Yes, because a leniency deal with the key government witness is impeachment evidence that must be disclosed under *Giglio v. United States*. Rule: Under *Giglio v. United States*, the prosecution's Brady duty extends to evidence that could be used to impeach a key government witness, including promises of leniency or deals made with the witness in exchange for testimony",128
28,18102,"During a heated argument at a poker game, Pete slammed his fist on the table and shouted at his friend Ross: ""You've been cheating all night — somebody ought to kill you!"" Pete and Ross had been friends for fifteen…",Solicitation requires specific intent that the solicited person actually commit the crime,C,"No, because the statement lacked specific intent that anyone actually commit murder",Criminal solicitation requires that the defendant specifically intend that the person solicited commit the crime; a request made without genuine intent that the crime be carried out is not solicitation,A,"Yes, because Pete verbally communicated a request for another person to commit murder","028. ID 18102 | Pattern: During a heated argument at a poker game, Pete slammed his fist on the table and shouted at his friend Ross: ""You've been cheating all night — somebody ought to kill you!"" Pete and Ross had been friends for fifteen… | Trap: Solicitation requires specific intent that the solicited person actually commit the crime | Look for: C — No, because the statement lacked specific intent that anyone actually commit murder. Rule: Criminal solicitation requires that the defendant specifically intend that the person solicited commit the crime; a request made without genuine intent that the crime be carried out is not solicitation",107
29,18442,"At arraignment on a felony charge, Dana appears without counsel. The judge asks for a plea. Dana, not understanding available defenses, pleads guilty. The court never obtains a waiver of counsel. Dana later challenges the plea",A stage can be critical even without witnesses if rights are affected or a plea is entered,A,"Arraignment was a critical stage because Dana entered a guilty plea, and she had no counsel or valid waiver",Arraignment is a critical stage when important rights may be lost or pleas entered; an uncounseled plea at arraignment can violate the Sixth Amendment absent valid waiver,C,The plea is valid because counsel is required only at trial,"029. ID 18442 | Pattern: At arraignment on a felony charge, Dana appears without counsel. The judge asks for a plea. Dana, not understanding available defenses, pleads guilty. The court never obtains a waiver of counsel. Dana later challenges the plea | Trap: A stage can be critical even without witnesses if rights are affected or a plea is entered | Look for: A — Arraignment was a critical stage because Dana entered a guilty plea, and she had no counsel or valid waiver. Rule: Arraignment is a critical stage when important rights may be lost or pleas entered; an uncounseled plea at arraignment can violate the Sixth Amendment absent valid waiver",112
