barmatrix_question_id,percent_correct,correct_answer,most_popular_wrong_answer,heuristic_class,trap_hits,choice_len_avg,charge_menu_score
14680,66.0,D,B,homicide,mental_state_gradient;lesser_greater_offense_ladder,100.5,4
21620,48.0,C,A,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right;exception_to_exception,78.2,0
16037,58.0,D,A,theft_property_crimes,timing_status_at_moment;lesser_greater_offense_ladder,67,2
14740,78.0,A,B,theft_property_crimes,lesser_greater_offense_ladder,16.8,3
20601,50.0,C,B,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right,131.8,1
21499,59.0,C,B,homicide,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder;constitutional_threshold,72.8,2
19823,62.0,A,B,theft_property_crimes,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,89,2
17332,60.0,C,A,theft_property_crimes,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder,68.8,1
16166,,D,B,defenses_justification_excuse,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder;constitutional_threshold,18.8,0
16208,,D,C,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right,65.8,0
19572,58.0,B,A,homicide,mental_state_gradient;lesser_greater_offense_ladder,74.8,2
16028,,B,D,homicide,mental_state_gradient;lesser_greater_offense_ladder,47.8,3
16015,,D,A,theft_property_crimes,lesser_greater_offense_ladder,189.5,4
14660,88.0,D,A,homicide,mental_state_gradient;lesser_greater_offense_ladder,22.2,2
14641,36.0,D,A,mens_rea_actus_reus,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;attempt_preparation_line;conspiracy_scope_withdrawal_merger,93.5,2
16204,,C,D,fifth_miranda_confessions,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,129.2,0
17855,61.0,C,A,defenses_justification_excuse,timing_status_at_moment;lesser_greater_offense_ladder;exception_to_exception,74,0
14592,77.0,D,C,fourth_amendment_search_seizure,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right;exception_to_exception,117.2,0
16156,,A,B,theft_property_crimes,timing_status_at_moment;lesser_greater_offense_ladder,15,3
20629,45.0,C,A,assault_battery_sex_kidnap,element_missing_despite_bad_intent;mental_state_gradient,102.8,0
16017,,A,B,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right,75.2,0
18399,48.0,C,A,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right;exception_to_exception,63,0
14610,71.0,D,B,sixth_trial_rights,timing_status_at_moment;remedy_vs_right,97.2,0
20988,60.0,A,C,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold,67.8,0
21530,62.0,A,B,theft_property_crimes,lesser_greater_offense_ladder,64.2,3
20265,48.0,A,B,theft_property_crimes,element_missing_despite_bad_intent;lesser_greater_offense_ladder;constitutional_threshold,68.2,0
16203,,A,D,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right;exception_to_exception,123.2,0
17622,62.0,C,A,fifth_miranda_confessions,timing_status_at_moment;mental_state_gradient;constitutional_threshold;remedy_vs_right,79.2,0
20280,55.0,C,A,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right;exception_to_exception,92.5,1
14656,53.0,B,D,homicide,element_missing_despite_bad_intent;mental_state_gradient;lesser_greater_offense_ladder,82.5,1
16102,,B,A,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right,164.8,0
16042,,A,B,theft_property_crimes,mental_state_gradient;lesser_greater_offense_ladder,11.2,3
16045,,D,C,accomplice_party_liability,conspiracy_scope_withdrawal_merger,100.5,1
17196,44.0,C,A,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,116.5,3
14736,92.0,A,D,assault_battery_sex_kidnap,lesser_greater_offense_ladder,71,2
18420,60.0,C,A,exclusion_double_jeopardy_due_process,element_missing_despite_bad_intent,153.2,1
14574,51.0,A,B,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right,46.8,0
16182,,C,B,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right;exception_to_exception,84.2,0
18471,60.0,C,A,sixth_trial_rights,timing_status_at_moment;constitutional_threshold,102.8,0
20938,45.0,C,B,homicide,element_missing_despite_bad_intent;attempt_preparation_line;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,90.8,4
21037,65.0,C,A,theft_property_crimes,,65,0
16039,,D,A,homicide,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,115.2,3
18964,58.0,A,D,fourth_amendment_search_seizure,constitutional_threshold;exception_to_exception,77.8,0
14640,81.0,B,A,assault_battery_sex_kidnap,element_missing_despite_bad_intent;timing_status_at_moment;constitutional_threshold,76.2,1
20112,46.0,C,B,assault_battery_sex_kidnap,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder,161,3
21629,74.0,C,A,defenses_justification_excuse,,70.5,0
16044,47.0,C,A,homicide,timing_status_at_moment;lesser_greater_offense_ladder,84,3
18500,65.0,B,A,theft_property_crimes,lesser_greater_offense_ladder,62,2
16091,,B,A,defenses_justification_excuse,element_missing_despite_bad_intent;mental_state_gradient,96.8,0
21578,46.0,D,C,homicide,mental_state_gradient;lesser_greater_offense_ladder,103.2,3
20816,42.0,C,A,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right,187,0
20347,62.0,C,A,fourth_amendment_search_seizure,conspiracy_scope_withdrawal_merger;constitutional_threshold;remedy_vs_right;exception_to_exception,137.8,0
21121,62.0,B,A,inchoate,timing_status_at_moment;attempt_preparation_line,68.8,3
14719,60.0,D,C,theft_property_crimes,element_missing_despite_bad_intent;lesser_greater_offense_ladder,25.5,4
14677,69.0,D,B,homicide,mental_state_gradient;lesser_greater_offense_ladder,32.2,4
14588,40.0,D,A,assault_battery_sex_kidnap,element_missing_despite_bad_intent,86,0
20636,70.0,C,A,fifth_miranda_confessions,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,67.5,0
19796,60.0,C,A,fifth_miranda_confessions,timing_status_at_moment,78,0
18001,48.0,B,A,defenses_justification_excuse,mental_state_gradient;constitutional_threshold,90.5,0
17362,60.0,C,B,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right,105.8,0
19233,60.0,C,A,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right,74.5,1
17028,62.0,A,B,exclusion_double_jeopardy_due_process,timing_status_at_moment,86.8,0
17405,48.0,C,A,homicide,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder,126,2
19454,50.0,C,A,inchoate,element_missing_despite_bad_intent;conspiracy_scope_withdrawal_merger,81.5,2
17153,58.0,A,B,sixth_trial_rights,timing_status_at_moment;constitutional_threshold;remedy_vs_right,82.2,2
16093,,C,A,inchoate,timing_status_at_moment;conspiracy_scope_withdrawal_merger;constitutional_threshold,131,2
18069,72.0,C,A,defenses_justification_excuse,,57.8,0
21192,58.0,D,A,theft_property_crimes,timing_status_at_moment;lesser_greater_offense_ladder;remedy_vs_right,98.5,3
17244,42.0,C,A,sixth_trial_rights,timing_status_at_moment;constitutional_threshold;remedy_vs_right,113,0
21597,72.0,A,C,inchoate,element_missing_despite_bad_intent;timing_status_at_moment;conspiracy_scope_withdrawal_merger,76.2,3
14609,50.0,A,B,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold,103.8,0
16096,,C,A,accomplice_party_liability,timing_status_at_moment;mental_state_gradient;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,99.2,4
16004,46.0,D,D,theft_property_crimes,mental_state_gradient;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,20.8,2
21105,45.0,B,A,theft_property_crimes,timing_status_at_moment;lesser_greater_offense_ladder,74.8,3
14605,50.0,C,D,defenses_justification_excuse,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder,152.5,2
21606,60.0,C,A,inchoate,element_missing_despite_bad_intent;timing_status_at_moment;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,91.5,1
16161,,D,B,inchoate,attempt_preparation_line,76.5,3
16118,,C,A,fourth_amendment_search_seizure,constitutional_threshold;exception_to_exception,56.2,0
16155,,C,D,homicide,timing_status_at_moment;lesser_greater_offense_ladder,26.5,3
19934,45.0,B,A,inchoate,timing_status_at_moment;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,104.5,4
14700,83.0,C,A,inchoate,timing_status_at_moment;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,71.2,2
20876,62.0,B,A,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;exception_to_exception,71.8,0
20263,62.0,A,B,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right;exception_to_exception,87.5,2
18456,55.0,B,A,theft_property_crimes,timing_status_at_moment;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,65.2,3
19781,62.0,C,A,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right;exception_to_exception,94,0
18580,47.0,A,B,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;remedy_vs_right;exception_to_exception,145.5,0
14698,26.0,C,A,theft_property_crimes,timing_status_at_moment;mental_state_gradient;attempt_preparation_line;lesser_greater_offense_ladder,22,3
19954,58.0,A,B,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right;exception_to_exception,102.5,2
17205,60.0,A,B,theft_property_crimes,lesser_greater_offense_ladder;constitutional_threshold,84,3
21263,52.0,C,A,fourth_amendment_search_seizure,attempt_preparation_line;constitutional_threshold;remedy_vs_right;exception_to_exception,81.8,0
19115,72.0,C,B,accomplice_party_liability,element_missing_despite_bad_intent;lesser_greater_offense_ladder,87.5,0
17786,58.0,C,A,defenses_justification_excuse,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold,112,0
18363,45.0,C,A,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right;exception_to_exception,125,2
19964,47.0,C,D,homicide,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder,121.8,3
18063,50.0,B,A,inchoate,conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,84,1
20194,60.0,A,B,sixth_trial_rights,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,95.5,0
17358,70.0,C,A,defenses_justification_excuse,,62.2,0
17594,57.0,A,B,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;remedy_vs_right;exception_to_exception,96.5,1
19633,50.0,C,B,homicide,timing_status_at_moment;lesser_greater_offense_ladder,76.5,2
16081,58.0,D,A,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder,83.2,0
14652,78.0,D,A,mens_rea_actus_reus,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,133.2,0
14720,63.0,D,C,theft_property_crimes,lesser_greater_offense_ladder,62.5,3
16005,,A,D,homicide,mental_state_gradient;lesser_greater_offense_ladder,22.2,2
19163,60.0,B,A,inchoate,element_missing_despite_bad_intent;attempt_preparation_line;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,56.5,3
16018,,C,A,inchoate,mental_state_gradient;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,83,3
17127,46.0,C,A,assault_battery_sex_kidnap,element_missing_despite_bad_intent;timing_status_at_moment,79.5,0
14650,43.0,B,A,assault_battery_sex_kidnap,timing_status_at_moment;mental_state_gradient;attempt_preparation_line;lesser_greater_offense_ladder;remedy_vs_right,56.8,3
21080,62.0,C,A,homicide,element_missing_despite_bad_intent;mental_state_gradient;lesser_greater_offense_ladder,142.2,2
18066,58.0,C,B,fourth_amendment_search_seizure,conspiracy_scope_withdrawal_merger;constitutional_threshold;remedy_vs_right;exception_to_exception,71,2
16104,,D,A,inchoate,mental_state_gradient;conspiracy_scope_withdrawal_merger,85.8,0
16090,,A,D,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right,108.8,0
16060,55.0,B,A,theft_property_crimes,element_missing_despite_bad_intent;lesser_greater_offense_ladder,100,4
16198,,D,B,fourth_amendment_search_seizure,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,114.2,0
16098,60.0,D,C,mens_rea_actus_reus,timing_status_at_moment;mental_state_gradient,61.5,2
19597,65.0,A,B,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right,75.5,1
17312,58.0,C,B,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right;exception_to_exception,136.5,0
16113,,B,C,theft_property_crimes,timing_status_at_moment;lesser_greater_offense_ladder,482.8,1
16006,,A,B,theft_property_crimes,mental_state_gradient;lesser_greater_offense_ladder;constitutional_threshold,12,3
19080,45.0,C,A,theft_property_crimes,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder,106,2
21830,58.0,C,A,homicide,timing_status_at_moment;lesser_greater_offense_ladder,118.5,2
17657,46.0,C,A,sixth_trial_rights,lesser_greater_offense_ladder,121,0
14635,75.0,B,D,defenses_justification_excuse,timing_status_at_moment;mental_state_gradient,105.5,1
14658,47.0,A,C,homicide,mental_state_gradient;lesser_greater_offense_ladder,69,2
20258,65.0,C,A,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right,69.2,0
19361,72.0,B,A,fourth_amendment_search_seizure,attempt_preparation_line;constitutional_threshold;remedy_vs_right,79,1
16168,,D,A,assault_battery_sex_kidnap,timing_status_at_moment;lesser_greater_offense_ladder,14.2,2
19893,60.0,C,A,fourth_amendment_search_seizure,lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,124.8,0
21151,48.0,A,B,theft_property_crimes,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,76.5,0
14743,83.0,B,A,theft_property_crimes,element_missing_despite_bad_intent;lesser_greater_offense_ladder,16,3
14669,83.0,A,C,homicide,mental_state_gradient;lesser_greater_offense_ladder,149.8,2
19167,58.0,C,A,defenses_justification_excuse,mental_state_gradient;lesser_greater_offense_ladder,66.2,0
21601,10.0,A,C,fourth_amendment_search_seizure,constitutional_threshold,80.5,0
14580,84.0,C,D,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right,104,0
16020,48.0,B,A,homicide,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,64,1
18983,46.0,C,A,sixth_trial_rights,mental_state_gradient,140.8,0
20268,52.0,A,B,fourth_amendment_search_seizure,timing_status_at_moment;remedy_vs_right;exception_to_exception,78.2,2
14692,71.0,B,C,inchoate,element_missing_despite_bad_intent;timing_status_at_moment;conspiracy_scope_withdrawal_merger,79.5,1
19956,48.0,C,A,homicide,timing_status_at_moment;lesser_greater_offense_ladder,115.5,2
18598,45.0,A,B,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold,85.5,0
14655,80.0,B,C,theft_property_crimes,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,60,2
14631,77.0,C,A,mens_rea_actus_reus,timing_status_at_moment;mental_state_gradient,33,0
19346,48.0,C,A,assault_battery_sex_kidnap,element_missing_despite_bad_intent;mental_state_gradient,117.8,0
16192,,A,B,sixth_trial_rights,timing_status_at_moment;constitutional_threshold;remedy_vs_right,75.5,2
14711,47.0,B,C,theft_property_crimes,timing_status_at_moment,330.5,0
19737,60.0,A,B,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold,71,0
17151,62.0,C,A,mens_rea_actus_reus,timing_status_at_moment;mental_state_gradient,64,1
20318,62.0,D,C,theft_property_crimes,timing_status_at_moment;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,76.5,2
17746,47.0,C,A,homicide,element_missing_despite_bad_intent;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,115.5,2
14618,52.0,B,C,homicide,timing_status_at_moment;mental_state_gradient;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,32.2,2
18174,60.0,B,A,mens_rea_actus_reus,timing_status_at_moment;mental_state_gradient,70,1
21425,45.0,C,A,sixth_trial_rights,,129.2,0
17097,61.0,A,B,defenses_justification_excuse,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,76.2,0
21022,58.0,C,A,sentencing_eighth_appeal_habeas,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold,112.2,0
18822,62.0,C,A,fifth_miranda_confessions,remedy_vs_right;exception_to_exception,81,1
19691,48.0,C,B,homicide,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,126.2,2
14662,74.0,C,A,homicide,lesser_greater_offense_ladder,41.5,3
21852,61.0,B,A,inchoate,attempt_preparation_line;conspiracy_scope_withdrawal_merger,68.2,1
20555,58.0,C,A,homicide,element_missing_despite_bad_intent;lesser_greater_offense_ladder,118.2,2
16027,,A,B,homicide,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,16,2
16122,45.0,C,D,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold,96.2,0
20133,62.0,A,B,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,83.2,0
16076,48.0,D,C,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold,86.8,0
17386,58.0,A,B,defenses_justification_excuse,constitutional_threshold,66.2,0
17168,63.0,A,C,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right;exception_to_exception,73.2,0
14594,88.0,B,C,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right;exception_to_exception,90.8,0
19501,48.0,A,B,sixth_trial_rights,timing_status_at_moment;constitutional_threshold;remedy_vs_right,92.2,1
18163,58.0,C,A,sixth_trial_rights,remedy_vs_right;exception_to_exception,122.2,0
21699,58.0,C,A,sixth_trial_rights,exception_to_exception,111.5,0
14668,69.0,D,A,homicide,mental_state_gradient;lesser_greater_offense_ladder,42.8,0
14734,64.0,B,A,accomplice_party_liability,,103.8,1
20503,62.0,C,A,fourth_amendment_search_seizure,timing_status_at_moment;mental_state_gradient;constitutional_threshold;remedy_vs_right;exception_to_exception,85.5,1
19229,58.0,C,B,fourth_amendment_search_seizure,timing_status_at_moment;conspiracy_scope_withdrawal_merger;constitutional_threshold;remedy_vs_right;exception_to_exception,138,2
19299,44.0,D,B,theft_property_crimes,lesser_greater_offense_ladder,59.5,3
19057,65.0,C,A,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right,77.5,0
17298,45.0,C,B,sixth_trial_rights,exception_to_exception,137.8,0
17478,47.0,A,B,exclusion_double_jeopardy_due_process,lesser_greater_offense_ladder;remedy_vs_right,75.8,2
16159,,D,C,mens_rea_actus_reus,element_missing_despite_bad_intent;mental_state_gradient,68.8,2
21700,72.0,C,A,homicide,mental_state_gradient;lesser_greater_offense_ladder,71.2,1
14684,78.0,C,B,homicide,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,26.5,3
17726,54.0,C,A,mens_rea_actus_reus,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder,103.8,2
17776,61.0,C,A,defenses_justification_excuse,,63.5,0
16047,,A,D,theft_property_crimes,lesser_greater_offense_ladder,19.2,2
16127,,D,C,theft_property_crimes,conspiracy_scope_withdrawal_merger,21.8,2
19263,52.0,C,A,theft_property_crimes,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,100.2,3
14636,78.0,D,A,defenses_justification_excuse,timing_status_at_moment;lesser_greater_offense_ladder,14.2,2
20945,65.0,B,A,inchoate,attempt_preparation_line;conspiracy_scope_withdrawal_merger,67.5,1
21690,60.0,B,A,inchoate,attempt_preparation_line;lesser_greater_offense_ladder,74.5,3
16133,,A,D,sixth_trial_rights,timing_status_at_moment;constitutional_threshold;remedy_vs_right,82.8,0
14557,87.0,D,A,fourth_amendment_search_seizure,timing_status_at_moment;mental_state_gradient;constitutional_threshold;remedy_vs_right;exception_to_exception,67,0
17870,48.0,C,A,homicide,lesser_greater_offense_ladder,99,2
16137,,A,D,homicide,lesser_greater_offense_ladder;constitutional_threshold,73.2,2
19864,58.0,A,B,homicide,mental_state_gradient;lesser_greater_offense_ladder,84.2,2
16201,,A,B,fifth_miranda_confessions,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,78.8,2
21843,47.0,C,A,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right,150.5,0
16202,,B,B,accomplice_party_liability,lesser_greater_offense_ladder;remedy_vs_right;exception_to_exception,109.8,1
21412,46.0,C,B,inchoate,timing_status_at_moment;attempt_preparation_line;conspiracy_scope_withdrawal_merger;lesser_greater_offense_ladder,66.2,1
19367,58.0,B,A,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right,75,1
14575,72.0,C,A,sixth_trial_rights,lesser_greater_offense_ladder,108,0
16048,,B,D,assault_battery_sex_kidnap,,30,2
16059,,D,A,fourth_amendment_search_seizure,constitutional_threshold,71,0
19099,62.0,A,C,mens_rea_actus_reus,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,68,2
20828,58.0,A,B,sixth_trial_rights,remedy_vs_right;exception_to_exception,87.5,1
18718,60.0,C,A,exclusion_double_jeopardy_due_process,timing_status_at_moment;constitutional_threshold;remedy_vs_right,77,1
21562,58.0,C,B,mens_rea_actus_reus,constitutional_threshold,89.8,0
19746,60.0,B,A,inchoate,conspiracy_scope_withdrawal_merger,87.2,2
20888,60.0,A,B,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right,87.8,0
18465,62.0,B,A,fourth_amendment_search_seizure,constitutional_threshold;exception_to_exception,76,0
14685,71.0,A,B,homicide,lesser_greater_offense_ladder,18.8,3
18297,55.0,B,A,theft_property_crimes,timing_status_at_moment;lesser_greater_offense_ladder,72.8,0
17522,46.0,C,B,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;remedy_vs_right;exception_to_exception,109.8,0
18171,55.0,C,A,homicide,lesser_greater_offense_ladder,71.2,1
18371,58.0,A,C,mens_rea_actus_reus,mental_state_gradient,103.8,2
18484,48.0,B,A,sixth_trial_rights,lesser_greater_offense_ladder;remedy_vs_right;exception_to_exception,142,2
18884,58.0,A,B,sixth_trial_rights,timing_status_at_moment;remedy_vs_right,74.8,0
19846,73.0,B,A,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right;exception_to_exception,79.5,0
19651,45.0,D,C,theft_property_crimes,element_missing_despite_bad_intent;lesser_greater_offense_ladder,16.2,0
17884,52.0,C,A,sixth_trial_rights,,176.5,0
21489,63.0,C,A,fourth_amendment_search_seizure,mental_state_gradient;constitutional_threshold;exception_to_exception,66.8,0
14724,87.0,C,A,theft_property_crimes,lesser_greater_offense_ladder,14.5,3
17337,58.0,A,C,inchoate,timing_status_at_moment;conspiracy_scope_withdrawal_merger,71.2,2
16088,50.0,D,A,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right,106.8,0
21197,62.0,A,C,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right,74,0
21707,72.0,A,C,defenses_justification_excuse,element_missing_despite_bad_intent,59.5,0
20233,60.0,C,A,exclusion_double_jeopardy_due_process,timing_status_at_moment;conspiracy_scope_withdrawal_merger;remedy_vs_right,116.8,0
18102,55.0,C,A,mens_rea_actus_reus,mental_state_gradient;lesser_greater_offense_ladder,80.5,1
18442,60.0,A,C,exclusion_double_jeopardy_due_process,timing_status_at_moment;constitutional_threshold,74,1
20089,60.0,B,A,fourth_amendment_search_seizure,constitutional_threshold,69.8,0
17104,60.0,C,A,defenses_justification_excuse,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold,89.5,0
21607,63.0,C,A,homicide,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,78,2
16151,,B,B,mens_rea_actus_reus,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,60,2
17279,62.0,B,C,homicide,mental_state_gradient;lesser_greater_offense_ladder,71,2
14599,43.0,C,A,theft_property_crimes,constitutional_threshold;remedy_vs_right,113,0
18355,62.0,C,B,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right;exception_to_exception,114,2
19882,42.0,B,A,inchoate,element_missing_despite_bad_intent;attempt_preparation_line,84.8,1
16183,,A,D,defenses_justification_excuse,element_missing_despite_bad_intent;lesser_greater_offense_ladder,107.8,0
14675,91.0,D,C,homicide,mental_state_gradient;lesser_greater_offense_ladder,24.5,2
21320,72.0,C,A,homicide,mental_state_gradient;lesser_greater_offense_ladder;constitutional_threshold,69.2,2
