qid,percent_correct,correct_answer,most_popular_wrong_answer,doctrine_family,answer_menu_type,breaker_fact_type,axis_strength
17746,47.0,C,A,homicide,homicide_ladder_menu,missing_element_or_definition,answer_menu_strong
21425,45.0,C,A,sixth_trial_rights,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
19691,48.0,C,B,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
16122,45.0,C,D,fifth_miranda_confession,fact_specific_reasons,right_not_triggered_or_wrong_source,stem_first_required
16076,48.0,D,C,fifth_miranda_confession,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
19501,48.0,A,B,sixth_trial_rights,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
19299,44.0,D,B,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
17298,45.0,C,B,sixth_trial_rights,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
17478,47.0,A,B,property_crimes,remedy_result_menu,missing_element_or_definition,answer_menu_strong
17870,48.0,C,A,homicide,homicide_ladder_menu,remedy_prejudice_or_review_gate,answer_menu_strong
21843,47.0,C,A,fourth_search_seizure,yes_no_because_menu,probable_cause_particularity_exception,answer_menu_partial
21412,46.0,C,B,property_crimes,inchoate_scope_menu,scope_merger_identity,answer_menu_strong
17522,46.0,C,B,sixth_trial_rights,yes_no_because_menu,timing_status_frame,answer_menu_partial
18484,48.0,B,A,sixth_trial_rights,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
19651,45.0,D,C,property_crimes,combination_grid,missing_element_or_definition,answer_menu_strong
14599,43.0,C,A,fourth_search_seizure,search_threshold_menu,probable_cause_particularity_exception,answer_menu_strong
19882,42.0,B,A,inchoate,inchoate_scope_menu,impossibility_or_attempt_line,answer_menu_strong
19042,42.0,A,D,property_crimes,guilty_not_guilty_menu,missing_element_or_definition,answer_menu_partial
14556,21.0,D,B,fourth_search_seizure,remedy_result_menu,probable_cause_particularity_exception,answer_menu_strong
18228,45.0,C,D,sixth_trial_rights,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
16065,42.0,D,C,homicide,fact_specific_reasons,mens_rea_or_specific_intent,stem_first_required
17486,46.0,A,B,sixth_trial_rights,yes_no_because_menu,probable_cause_particularity_exception,answer_menu_partial
21367,48.0,C,A,sixth_trial_rights,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
14569,40.0,D,B,fourth_search_seizure,remedy_result_menu,probable_cause_particularity_exception,answer_menu_strong
14657,43.0,B,A,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
16097,40.0,C,A,fourth_search_seizure,yes_no_because_menu,probable_cause_particularity_exception,answer_menu_partial
16002,47.0,B,A,other_substantive_crime,fact_specific_reasons,mens_rea_or_specific_intent,stem_first_required
18342,46.0,A,B,sixth_trial_rights,remedy_result_menu,right_not_triggered_or_wrong_source,answer_menu_strong
21024,47.0,C,A,fifth_miranda_confession,yes_no_because_menu,timing_status_frame,answer_menu_partial
14590,42.0,D,C,property_crimes,yes_no_because_menu,impossibility_or_attempt_line,answer_menu_partial
19534,48.0,D,C,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
18980,44.0,C,D,sixth_trial_rights,yes_no_because_menu,remedy_prejudice_or_review_gate,answer_menu_partial
21789,48.0,A,C,sixth_trial_rights,fact_specific_reasons,right_not_triggered_or_wrong_source,stem_first_required
18501,48.0,C,A,fifth_miranda_confession,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
18620,48.0,C,D,unclear,fact_specific_reasons,missing_element_or_definition,stem_first_required
18466,46.0,C,A,sixth_trial_rights,yes_no_because_menu,remedy_prejudice_or_review_gate,answer_menu_partial
18125,48.0,C,A,fourth_search_seizure,search_threshold_menu,probable_cause_particularity_exception,answer_menu_strong
20090,45.0,A,D,property_crimes,yes_no_because_menu,mens_rea_or_specific_intent,answer_menu_partial
17367,47.0,A,C,fourth_search_seizure,remedy_result_menu,probable_cause_particularity_exception,answer_menu_strong
20672,48.0,C,A,party_liability,yes_no_because_menu,mens_rea_or_specific_intent,answer_menu_partial
19484,48.0,B,A,homicide,combination_grid,fact_specific_or_unclear,answer_menu_strong
18850,46.0,C,A,due_process_appeal_habeas,remedy_result_menu,remedy_prejudice_or_review_gate,answer_menu_strong
14625,34.0,A,C,other_substantive_crime,inchoate_scope_menu,timing_status_frame,answer_menu_strong
17828,44.0,B,A,sixth_trial_rights,right_source_menu,missing_element_or_definition,answer_menu_strong
18296,44.0,C,A,due_process_appeal_habeas,yes_no_because_menu,burden_or_proof_allocation,answer_menu_partial
19972,46.0,C,A,fifth_miranda_confession,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
18703,48.0,C,A,property_crimes,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
21074,48.0,C,A,sixth_trial_rights,remedy_result_menu,remedy_prejudice_or_review_gate,answer_menu_strong
14615,30.0,B,D,fifth_miranda_confession,right_source_menu,timing_status_frame,answer_menu_strong
20936,47.0,C,A,other_substantive_crime,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
18581,48.0,C,A,fifth_miranda_confession,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
20122,45.0,C,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
14568,45.0,C,A,due_process_appeal_habeas,fact_specific_reasons,remedy_prejudice_or_review_gate,stem_first_required
19712,48.0,C,B,due_process_appeal_habeas,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
19027,48.0,C,A,homicide,yes_no_because_menu,mens_rea_or_specific_intent,answer_menu_partial
20034,48.0,C,B,fourth_search_seizure,yes_no_because_menu,remedy_prejudice_or_review_gate,answer_menu_partial
14596,28.0,B,C,due_process_appeal_habeas,combination_grid,burden_or_proof_allocation,answer_menu_strong
21675,46.0,C,A,property_crimes,fact_specific_reasons,fact_specific_or_unclear,stem_first_required
21640,48.0,B,A,fourth_search_seizure,yes_no_because_menu,probable_cause_particularity_exception,answer_menu_partial
16034,48.0,C,A,unclear,fact_specific_reasons,mens_rea_or_specific_intent,stem_first_required
17893,48.0,C,A,fifth_miranda_confession,yes_no_because_menu,timing_status_frame,answer_menu_partial
18356,44.0,B,D,due_process_appeal_habeas,yes_no_because_menu,remedy_prejudice_or_review_gate,answer_menu_partial
17712,48.0,C,A,property_crimes,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
20700,42.0,D,A,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
18335,47.0,A,B,homicide,guilty_not_guilty_menu,mens_rea_or_specific_intent,answer_menu_partial
18032,48.0,C,A,fifth_miranda_confession,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
20689,45.0,C,A,property_crimes,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
14558,40.0,D,B,due_process_appeal_habeas,remedy_result_menu,remedy_prejudice_or_review_gate,answer_menu_strong
18156,45.0,C,B,property_crimes,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
18101,42.0,B,A,inchoate,inchoate_scope_menu,scope_merger_identity,answer_menu_strong
20971,45.0,B,A,fourth_search_seizure,yes_no_because_menu,remedy_prejudice_or_review_gate,answer_menu_partial
20674,46.0,C,A,sixth_trial_rights,yes_no_because_menu,remedy_prejudice_or_review_gate,answer_menu_partial
19008,42.0,A,B,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
20427,45.0,C,A,sixth_trial_rights,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
20640,48.0,C,B,fifth_miranda_confession,remedy_result_menu,right_not_triggered_or_wrong_source,answer_menu_strong
14570,49.0,A,C,fourth_search_seizure,remedy_result_menu,probable_cause_particularity_exception,answer_menu_strong
20597,48.0,B,D,property_crimes,guilty_not_guilty_menu,mens_rea_or_specific_intent,answer_menu_partial
19743,45.0,C,D,due_process_appeal_habeas,remedy_result_menu,remedy_prejudice_or_review_gate,answer_menu_strong
19357,46.0,C,B,other_substantive_crime,combination_grid,remedy_prejudice_or_review_gate,answer_menu_strong
18496,46.0,C,A,homicide,yes_no_because_menu,mens_rea_or_specific_intent,answer_menu_partial
17252,43.0,C,A,other_substantive_crime,yes_no_because_menu,mens_rea_or_specific_intent,answer_menu_partial
18788,48.0,B,A,sixth_trial_rights,property_crime_label_menu,right_not_triggered_or_wrong_source,answer_menu_strong
21156,44.0,B,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
21426,47.0,C,A,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
19184,44.0,A,C,homicide,yes_no_because_menu,mens_rea_or_specific_intent,answer_menu_partial
18765,48.0,A,C,fourth_search_seizure,remedy_result_menu,probable_cause_particularity_exception,answer_menu_strong
18681,44.0,C,D,sixth_trial_rights,right_source_menu,missing_element_or_definition,answer_menu_strong
14748,46.0,C,A,property_crimes,property_crime_label_menu,scope_merger_identity,answer_menu_strong
17556,48.0,C,A,fifth_miranda_confession,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
16082,46.0,D,A,homicide,fact_specific_reasons,mens_rea_or_specific_intent,stem_first_required
17363,48.0,A,C,fourth_search_seizure,search_threshold_menu,right_not_triggered_or_wrong_source,answer_menu_strong
21638,42.0,C,D,fourth_search_seizure,yes_no_because_menu,probable_cause_particularity_exception,answer_menu_partial
20881,12.0,C,B,fifth_miranda_confession,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
19271,40.0,B,A,inchoate,yes_no_because_menu,mens_rea_or_specific_intent,answer_menu_partial
17880,46.0,C,A,homicide,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
18447,47.0,C,A,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
21464,46.0,B,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
14725,46.0,C,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
14629,47.0,D,C,fifth_miranda_confession,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
21006,48.0,C,A,fourth_search_seizure,yes_no_because_menu,probable_cause_particularity_exception,answer_menu_partial
20789,48.0,C,B,fifth_miranda_confession,combination_grid,right_not_triggered_or_wrong_source,answer_menu_strong
17165,45.0,B,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
20948,48.0,C,A,defenses,yes_no_because_menu,scope_merger_identity,answer_menu_partial
20385,48.0,C,A,homicide,homicide_ladder_menu,missing_element_or_definition,answer_menu_strong
21244,48.0,C,A,fourth_search_seizure,yes_no_because_menu,fact_specific_or_unclear,answer_menu_partial
20097,48.0,C,A,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
16011,44.0,B,A,inchoate,remedy_result_menu,mens_rea_or_specific_intent,answer_menu_strong
17052,44.0,D,B,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
14619,22.0,B,A,due_process_appeal_habeas,combination_grid,remedy_prejudice_or_review_gate,answer_menu_strong
17827,47.0,C,A,homicide,homicide_ladder_menu,fact_specific_or_unclear,answer_menu_strong
19055,48.0,B,A,inchoate,inchoate_scope_menu,scope_merger_identity,answer_menu_strong
20314,48.0,C,A,fourth_search_seizure,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
18132,40.0,C,A,sixth_trial_rights,remedy_result_menu,right_not_triggered_or_wrong_source,answer_menu_strong
19751,48.0,A,B,sixth_trial_rights,remedy_result_menu,probable_cause_particularity_exception,answer_menu_strong
21526,46.0,A,B,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
17823,48.0,A,C,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
20806,46.0,C,A,other_substantive_crime,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
18768,47.0,C,A,sixth_trial_rights,remedy_result_menu,right_not_triggered_or_wrong_source,answer_menu_strong
21171,47.0,C,D,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
21011,46.0,B,C,sixth_trial_rights,combination_grid,missing_element_or_definition,answer_menu_strong
21572,48.0,C,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
21689,44.0,C,B,fifth_miranda_confession,remedy_result_menu,right_not_triggered_or_wrong_source,answer_menu_strong
17375,48.0,C,A,other_substantive_crime,fact_specific_reasons,missing_element_or_definition,stem_first_required
17080,48.0,C,A,fifth_miranda_confession,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
16054,45.0,B,A,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
21583,46.0,C,A,homicide,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
19619,48.0,C,A,fourth_search_seizure,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
21326,48.0,A,B,homicide,fact_specific_reasons,remedy_prejudice_or_review_gate,stem_first_required
19757,42.0,B,A,unclear,yes_no_because_menu,burden_or_proof_allocation,answer_menu_partial
17495,48.0,C,B,property_crimes,yes_no_because_menu,scope_merger_identity,answer_menu_partial
14697,40.0,B,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
18317,48.0,C,A,defenses,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
18217,48.0,A,B,fourth_search_seizure,yes_no_because_menu,fact_specific_or_unclear,answer_menu_partial
19242,42.0,C,D,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
21432,46.0,C,B,fourth_search_seizure,search_threshold_menu,probable_cause_particularity_exception,answer_menu_strong
19996,48.0,C,A,unclear,yes_no_because_menu,mens_rea_or_specific_intent,answer_menu_partial
21718,44.0,C,A,homicide,homicide_ladder_menu,mens_rea_or_specific_intent,answer_menu_strong
17626,47.0,C,B,fifth_miranda_confession,yes_no_because_menu,fact_specific_or_unclear,answer_menu_partial
17589,45.0,C,B,other_substantive_crime,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
14582,44.0,A,D,sixth_trial_rights,fact_specific_reasons,remedy_prejudice_or_review_gate,stem_first_required
21497,47.0,A,B,homicide,guilty_not_guilty_menu,mens_rea_or_specific_intent,answer_menu_partial
