qid,pc,correct,mpwa,answer_menu,correct_expl_first_sentence,wrong_expl_first_sentence,additional_info_first_sentence
17828,44.0,B,A,The defendant has no valid claim because there is no constitutional right to an  | The defendant has a valid claim to both a free transcript and appointed counsel  | The defendant has a valid claim to a free transcript but not to appointed counse | The defendant has a valid claim to appointed counsel but not to a free transcrip,The constitutional framework has two steps.,"A: While it is true that no constitutional right to appeal exists, once a state provides an appeal, the Due Process and Equal Protection Clauses govern the appellate process.","There is no constitutional right to appellate review of a criminal conviction; however, if a state provides an appeal, the Due Process and Equal Protection Clauses require that the appeal be meaningful, including that an"
18296,44.0,C,A,"No, because the state legislature has the authority to define the elements of cr | Yes, because any presumption in a criminal case is unconstitutional under the Du | Yes, because the instruction places the burden of producing evidence on an eleme | No, because the instruction only shifts the burden of production, not the burden",In re Winship held that due process requires the prosecution to prove every element of a criminal offense beyond a reasonable doubt.,"A: While states may define crimes and place the burden of producing evidence on a defendant for affirmative defenses, they cannot use a presumption to relieve the prosecution of its constitutional obligation to prove eve",Under In re Winship and Sandstrom v.
18356,44.0,B,D,"No, because having litigated one habeas petition to final judgment, the prisoner | Yes, if the Supreme Court has made the new due process rule retroactive to cases | Yes, because a new Supreme Court decision always entitles a prisoner to reopen a | No, because the prisoner waived the due process argument by failing to raise it ",Under 28 U.S.C.,A: AEDPA does not impose an absolute bar on successive habeas petitions.,Under AEDPA (28 U.S.C.
21156,44.0,B,A,"Embezzlement, because Marcus's employer entrusted him with the $100 bill | Larceny, because the $92 was never within the scope of lawful possession Marcus  | Neither, because Marcus was given the money voluntarily and thus had valid posse | Embezzlement, because Marcus was in a fiduciary relationship with his employer",Embezzlement requires that the specific property converted was lawfully possessed by the defendant at the time of conversion.,A: The entrustment was limited: Marcus was given $100 for the specific purpose of buying paint and returning with the change.,"Where an employer entrusts an employee with property for a specific limited purpose, any property beyond the scope of that entrustment is never lawfully possessed; taking it is larceny, not embezzlement."
19184,44.0,A,C,"No, because mere presence at the scene of a crime is insufficient to make a pers | No, because murder is a specific-intent crime, and there is insufficient evidenc | Yes, because the gang members made no effort to save the released gang member af | Yes, because voluntary intoxication does not negate criminal responsibility.",A is correct.,B misstates the reasoning: murder does not require specific intent to kill.,
18681,44.0,C,D,"The defendant's claim succeeds because the Sixth Amendment right to confrontatio | The defendant's claim fails, and the court properly exercised its three options: | The defendant's claim fails because, after two warnings, the court was permitted | The defendant's claim fails because removal for disruptive conduct is constituti",Illinois v.,A: Illinois v.,Under Illinois v.
16011,44.0,B,A,"The victim was already dead when the defendant shot him, although the defendant  | The victim was alive when the defendant shot him, although the defendant believe | The defendant's gun was unloaded when he aimed it at the victim and pulled the t | Intending to poison the victim, the defendant put a harmless substance into the ","A person is guilty of a criminal intent when, with the specific intent to bring about a criminally prohibited result, he or she comes substantially close to achieving that result.",A defendant with the specific intent to commit a particular crime may be guilty of attempting it even though accomplishing the intended result was factually impossible.,
17052,44.0,D,B,A: Conspiracy. | B: Involuntary manslaughter. | C: Voluntary manslaughter. | D: Depraved-indifference murder.,"Most courts impose accomplice liability on a defendant when one person commits a killing with reckless indifference to human life, and the defendant, acting with the same reckless indifference, encourages the person in t",,
21689,44.0,C,B,"No, because Joyce received Miranda warnings before the second confession and wai | No, because under *Oregon v. Elstad*, a subsequent warned confession is admissib | Yes, because the police deliberately used a two-step tactic to undermine Miranda | Yes, because any unwarned statement automatically taints all subsequent statemen",In *Missouri v.,A: Missouri v.,Under *Missouri v.
21718,44.0,C,A,"Not guilty, because Nathaniel genuinely believed he was being attacked | Guilty of murder, because Nathaniel's belief was objectively unreasonable | Guilty of voluntary manslaughter, because Nathaniel had an honest but unreasonab | Not guilty by reason of insanity, because Nathaniel has an anxiety disorder affe","Imperfect self-defense applies when a defendant sincerely (honestly) believes deadly or serious force is necessary, but that belief is not objectively reasonable.",A: Common-law self-defense requires both an honest and a reasonable belief.,"Imperfect self-defense: when a defendant honestly but unreasonably believes deadly force was necessary, the charge is reduced from murder to voluntary manslaughter; the defendant is not acquitted and not convicted of mur"
14582,44.0,A,D,"A: correct, because the man did not testify at trial. | B: correct, whether or not the man testified at trial. | C: incorrect, because the woman testified on her own behalf. | D: incorrect, because the woman's own confession was properly admitted into evid",A is correct.,B is incorrect.,
18934,45.0,C,A,"No, because the gun is the fruit of the poisonous tree — obtained directly as a  | No, because Greg's statement was voluntary and a voluntary statement negates any | Yes, the gun is admissible because *United States v. Patane* holds that physical | Yes, the gun is admissible because the inevitable discovery doctrine would have ",In *United States v.,A: United States v.,Under *United States v.
20629,45.0,C,A,"Whether Breck acted with reckless disregard for the risk of permanent injury | Whether Axel provoked the fight, because provocation is a complete defense to ma | Whether Breck had the intent to maim or permanently disfigure Axel, as opposed t | Whether the injury was permanent, because any permanent disfigurement satisfies ","Common-law mayhem requires that the defendant act with malice — generally understood as specific intent to maim or disfigure, or at minimum, willfulness in committing the act knowing it would cause such a result.",A: Common-law mayhem is not a recklessness crime.,"Common-law mayhem requires (1) unlawful and malicious (2) permanent (3) removal or disablement of a body part that renders the victim less able to fight, OR (4) disfigurement of a body part; the defendant must intend the"
20938,45.0,C,B,"Conspiracy merges into attempted murder, so only attempted murder and assault co | Convictions on all three charges are permissible because each offense has distin | Conspiracy and attempted murder stand; assault with a deadly weapon merges into  | Only assault with a deadly weapon stands because it is the only offense complete",Conspiracy never merges — it is a separate offense punishing the agreement itself and stands alongside any subsequent crimes.,A: Conspiracy does not merge into attempt or into any completed or attempted crime.,"At common law, attempt merges into the completed crime so that a defendant cannot be convicted of both attempted murder and murder for the same transaction; conspiracy, however, does not merge into the completed crime an"
21105,45.0,B,A,"Embezzlement only, because the courier had lawful possession of the envelope | Larceny, because breaking the sealed envelope and taking the coins was a trespas | False pretenses, because Nora trusted the courier | No theft offense, because Nora voluntarily handed over the envelope",The breaking-bulk doctrine treats the courier's opening of the sealed package and removal of contents as larceny of the contents.,A: The courier's lawful possession of the sealed container does not necessarily give lawful possession of the contents after breaking bulk.,"Under the breaking-bulk doctrine, a bailee entrusted with a closed container who opens it and converts part of the contents can commit larceny of the contents."
19934,45.0,B,A,"Greg is not guilty of either conspiracy or robbery because he withdrew before th | Greg is guilty of conspiracy but not the robbery, because his withdrawal cuts of | Greg is guilty of both conspiracy and robbery because withdrawal requires him to | Greg is not guilty of conspiracy because he withdrew before the overt act was co",The conspiracy was formed in January and was then a completed offense.,"A: The conspiracy was complete the moment Greg, Henry, and Iris reached their agreement in January.",A conspirator who effectively withdraws does not thereby withdraw from the conspiracy itself (which was already completed at the moment of agreement); withdrawal stops the running of the statute of limitations and ends P
18363,45.0,C,A,"All three items are admissible because the warrant established probable cause an | All three items are suppressible because the particularity clause was violated | The cocaine is likely admissible as within the scope of the warrant's probable-c | The pistol and business records are suppressible, but the cocaine is admissible ","The warrant's particularity clause was defective as written (""any and all items""), but courts interpret warrants in light of the supporting affidavit, which established probable cause for drug trafficking evidence.",A: A valid warrant also requires particularity — the items to be seized must be described with sufficient specificity to limit police discretion.,"A warrant must describe with particularity both the place to be searched and the items to be seized; a general warrant authorizing seizure of ""any evidence of crime"" is constitutionally invalid"
19080,45.0,C,A,"Embezzlement, because Carol is an employee of the bank and the money was in the  | Larceny, because Carol took money without a trespassory taking from the account | Embezzlement, because Carol was entrusted with access to the banking system in h | Neither, because the funds were misdirected to begin with and thus had no true o","While the entrustment here is indirect, Carol's position as a bank teller gave her authorized access to the bank's account systems — a form of entrustment of the institution's funds management.",A: Embezzlement requires that the specific property have been entrusted to Carol in her role.,"Embezzlement requires that the defendant's lawful possession arise from a relationship of trust or confidence — such as employment, agency, or fiduciary status — with the owner."
18598,45.0,A,B,"No, because the Sixth Amendment does not require counsel at a photo array, even  | Yes, because indictment means counsel must attend every identification procedure | Yes, because photo arrays are more suggestive than lineups as a matter of law | No, because the Sixth Amendment never attaches until the first witness testifies",The accused is not physically present at a photo display.,B: Attachment is necessary but not sufficient.,"There is no Sixth Amendment right to counsel at a photo array, even after indictment, because the accused is not present at a corporeal confrontation."
21425,45.0,C,A,"Yes, because any wrongdoing that causes a witness to be unavailable constitutes  | Yes, because forfeiture applies whenever the defendant's crime and the underlyin | No, because forfeiture requires that the defendant's wrongdoing was specifically | No, because Petra's prior statements are non-testimonial and therefore not subje",Under *Giles v.,A: Giles v.,Under Giles v.
16122,45.0,C,D,The discovery of the defendant's identity was inevitable. | The discovery of the defendant's identity was the result of an independent inves | The interrogation of the man did not violate the defendant's constitutional righ | The defendant was not in custody at the time of the man's interrogation.,"Statements obtained from a suspect in violation of his or her constitutional rights (and, some authorities suggest, the fruits of such statements) cannot be used against him or her.",A and B are incorrect because there are no facts indicating that the defendant's complicity would have been discovered without the man's statement.,
17298,45.0,C,B,"Yes, because the victim's preliminary hearing testimony is a firmly rooted hears | Yes, because the defendant was present at the preliminary hearing and his attorn | No, because the defendant lacked a meaningful prior opportunity to cross-examine | No, because the victim's unavailability does not satisfy the hearsay unavailabil",Under *Crawford v.,A: Crawford v.,Under Crawford v.
19651,45.0,D,C,All of them. | Only the friend. | The man and the woman. | Only the woman.,D is correct.,A is incorrect.,
18228,45.0,C,D,"No, because Diana voluntarily entered the guilty plea without objecting to the a | No, because Diana's statement that she ""did not care"" about the proceedings cons | Yes, because Diana was denied counsel at a critical stage, which is presumptivel | Yes, but only if Diana can demonstrate a reasonable probability that the outcome",Arraignment is a recognized critical stage under the Sixth Amendment.,A: Arraignment is a critical stage.,"Arraignment is a critical stage of criminal prosecution; the defendant is entitled to counsel, and absence of counsel is presumptively prejudicial"
20090,45.0,A,D,"No, because she believed that the painting belonged to her. | No, because the gallery owner would have sold the painting to anyone who agreed  | Yes, because even if her representation was not material, she never intended to  | Yes, because she knowingly made a false representation on which the gallery owne",A is correct.,B is incorrect.,
20122,45.0,C,A,"Yes, because Kevin used force in connection with the theft of the wallet | No, because Kevin pickpocketed the wallet without the victim's awareness, and ro | No, because the force occurred after the larceny was already complete, so robber | Yes, because Kevin used force to retain the property after it was taken, which s","Common-law robbery requires a trespassory taking from the person or presence of another, by force or intimidation.",A: Robbery requires that force or intimidation be used in the course of taking the property — meaning at or before the moment the taking is accomplished.,Common-law robbery requires that force or intimidation be used in the course of the taking.
14568,45.0,C,A,A: The defendant was unable to cross-examine the witness about the conviction. | B: The prosecutor failed to inform the grand jury of the witness's conviction. | C: The court found it reasonably probable that the defendant would have been acq | D: The court found that the prosecutor had deliberately delayed disclosing the w,C is correct.,A is incorrect.,
20689,45.0,C,A,"Yes, because Max maliciously set fire to another's property | Yes, because significant smoke and heat were produced, creating a substantial ri | No, because the burning element of common-law arson requires actual charring of  | No, because the porch is not part of the ""dwelling house"" for purposes of arson","Common-law arson requires a malicious burning of the dwelling house of another, and ""burning"" requires actual charring — the fire must consume or char the wood fibers of the structure itself.",A: Common-law arson's burning element requires actual charring — the consumption of the wood fibers of the structure itself.,Common-law arson requires a malicious burning of the dwelling house of another.
18156,45.0,C,B,"Yes, because Harold made a representation he knew was false when he made it | Yes, because by accepting payment, Harold implicitly represented that he current | No, because at common law, a false promise about future conduct does not satisfy | No, because Helen should have required a written contract before paying",Common-law false pretenses requires a knowingly false representation of a presently existing material fact.,"A: False pretenses at common law requires a false statement of a presently existing fact, not a false promise about future conduct.",False pretenses requires a false representation of a presently existing material fact.
20971,45.0,B,A,"Yes, because Fourth Amendment violations are constitutional claims and federal c | No, because Stone v. Powell bars Fourth Amendment suppression claims in federal  | No, but only because the defendant failed to raise the Fourth Amendment claim in | Yes, because Stone v. Powell applies only when the state court actually suppress",Stone v.,A: Stone v.,Stone v.
20427,45.0,C,A,"Yes, because the Sixth Amendment right to counsel is offense-specific and had no | Yes, because Tanya implicitly waived her earlier invocation by agreeing to talk  | No, because Tanya's invocation of Miranda right to counsel barred police from re | No, because Tanya's Sixth Amendment right to counsel had attached at the indictm","When Tanya said ""I want a lawyer,"" she invoked her Fifth Amendment/Miranda right to counsel.","A: While the Sixth Amendment defense fails (no formal proceedings on drug trafficking), Tanya invoked her Miranda right to counsel.","Once a suspect invokes the right to counsel under Miranda, police may not question the suspect about any offense; but the Sixth Amendment right, once attached, only bars questioning about the charged offense"
19743,45.0,C,D,"The defendant's claim fails because the prosecutor's statement is based on perso | The defendant's claim fails because prosecutorial misconduct in closing argument | The defendant has a viable constitutional claim, but the conviction will be reve | The defendant's claim automatically results in reversal because vouching is a st",Vouching—a prosecutor's personal assurance of a witness's credibility that goes beyond the evidence—violates due process because it injects the prosecutor's personal credibility and extra-record information into the jury,A: The prosecutor's personal opinion about the officer's character formed over twenty years of off-record interactions is not trial evidence.,Due process is violated when a prosecutor expresses personal belief in a witness's credibility or implies that evidence outside the record supports guilt; reversal requires that the misconduct likely affected the verdict
17165,45.0,B,A,"False pretenses, because Donna made a false representation that caused the owner | Larceny by trick, because Donna used fraud to induce the owner to transfer posse | Embezzlement, because the owner entrusted the necklace to Donna for a specific p | Theft by deception, which encompasses both false pretenses and larceny by trick","Larceny by trick is committed when a defendant uses fraudulent misrepresentation to induce the owner to voluntarily hand over possession of property for a limited purpose, and the defendant then converts it.","A: False pretenses requires that the victim, as a result of the fraud, transfer title — ownership — to the defendant.",Larceny by trick applies when a defendant uses fraud to induce the owner to hand over possession for a limited purpose; the defendant then exceeds that purpose.
16054,45.0,B,A,"In a jurisdiction that applies the common law definition, the defendant is charg | In a jurisdiction in which the statutory age of consent is 18, the defendant is  | In a jurisdiction that applies the common law definition, the defendant is charg | In a jurisdiction that applies the common law definition, the defendant is charg","Although statutory rape is sometimes called a strict liability crime, this means only that liability can be imposed even though the defendant was not aware that the female with whom he was having intercourse was underage",A is incorrect because liability for involuntary manslaughter may be imposed if the victim's death resulted from reckless conduct by the defendant.,
17589,45.0,C,B,"Yes, because any undisclosed exculpatory evidence automatically entitles the def | Yes, because the statement could have been used to create reasonable doubt | Probably not, because the undisclosed statement is likely not material given the | No, because *Brady* applies only to physical evidence, not witness statements",Under *Brady v.,A: Brady requires more than mere non-disclosure; the withheld evidence must be material.,Under *Brady v.
17852,46.0,C,A,"Yes, because Owen took Dana's property without her consent | Yes, because Owen's self-help remedy is illegal under civil law | No, because Owen's sincere belief in his right to take equivalent value negates  | No, because the drill's value is equal to the debt, so Owen took nothing of net ","Larceny requires a trespassory taking, meaning the defendant must take without a sincere belief in a legal right to the property.",A: Lack of consent is a necessary but not sufficient condition for a trespassory taking.,"A taking is not trespassory if the defendant sincerely believes he has a legal right to the specific property taken, even if that belief is mistaken."
20112,46.0,C,B,"Yes, because the charges arise from the same conduct, and the Double Jeopardy Cl | No, because aggravated battery requires proof of serious bodily injury, an eleme | Yes, because simple assault is a lesser included offense of aggravated battery — | No, because Walt was acquitted rather than convicted, and the Double Jeopardy Cl","Under *Blockburger*, two offenses are ""the same"" if one is a lesser included offense of the other — that is, if conviction for the greater necessarily proves all elements of the lesser.",A: The Double Jeopardy Clause does not bar all successive prosecutions arising from the same conduct.,Under *Blockburger v.
21578,46.0,D,C,"A: guilty, because giving the man the antibiotic without a prescription with kno | B: guilty, because he did not attempt to stop the man from killing his wife. | C: guilty, because he furnished the drug knowing that the man would use it to at | D: not guilty, because he did not believe that the wife would die.","A person is guilty of a criminal attempt when, with the specific intent to bring about a criminally prohibited result, he or she does some significant act that brings him or her substantially close to accomplishing that ",Murder is the unlawful killing of a human being with malice aforethought.,
